provided by Gürkan Korkmaz,http://orcid.org/0000-0003-1911-027X
Sequence,TotalCDS,GenomicGC,GenomicOffTAG,GenomicOffTGA,GenomicOffTAA,Genomic Gs,Genomic Cs,Genomic As,Genomic Ts
00016GCF_000837065.1_ViralProj14071_Genomic.fna,1,0.4088328075709779,63,98,102,994,950,1452,1359
00017GCF_000837085.1_ViralProj14075_Genomic.fna,1,0.4645489199491741,92,136,104,1929,1727,2252,1962
00018GCF_000837105.1_ViralMultiSegProj14079_Genomic.fna,2,0.42934782608695654,55,124,101,1147,1065,1370,1570
00019GCF_000837125.1_ViralProj14084_Genomic.fna,1,0.551335666772732,721,1545,1391,36295,36478,29463,29758
00020GCF_000837145.1_ViralProj14089_Genomic.fna,1,0.40404473032535393,1070,2017,2989,26056,25829,37747,38782
00021GCF_000837165.1_ViralProj14093_Genomic.fna,1,0.4516789982925441,70,195,140,2011,1957,2356,2461
00022GCF_000837185.1_ViralProj14097_Genomic.fna,1,0.1778144014045113,3057,3290,13850,20454,20869,94122,96949
00023GCF_000837205.1_ViralMultiSegProj14101_Genomic.fna,2,0.41318977119784656,62,120,131,1141,1008,1418,1634
00024GCF_000837225.1_ViralProj14105_Genomic.fna,1,0.5205621221199411,62,902,448,10181,8933,9110,8494
00025GCF_000837245.1_ViralProj14109_Genomic.fna,1,0.6365057071076734,240,650,140,15695,16481,9240,9135
00026GCF_000837265.1_ViralProj14113_Genomic.fna,1,0.33043478260869563,217,341,500,2718,2298,5335,4829
00027GCF_000837285.1_ViralMultiSegProj14117_Genomic.fna,4,0.4870530209617756,42,90,68,1249,1121,1228,1268
00028GCF_000837305.1_ViralMultiSegProj14121_Genomic.fna,2,0.4407329643061653,53,106,106,1167,1142,1377,1553
00029GCF_000837325.1_ViralProj14125_Genomic.fna,1,0.4925946242457488,15,33,29,504,394,405,520
00030GCF_000837345.1_ViralProj14129_Genomic.fna,1,0.3112957610789981,127,133,247,1282,1303,3526,2193
00031GCF_000837365.1_ViralProj14133_Genomic.fna,1,0.3756750122729504,548,940,1073,8393,6912,14058,11377
00032GCF_000837385.1_ViralProj14137_Genomic.fna,1,0.33313152011922503,687,908,1423,8204,6102,16197,12441
00033GCF_000837405.1_ViralProj14141_Genomic.fna,1,0.3543078637081051,693,892,1331,8613,6652,15886,11933
00034GCF_000837425.1_ViralProj14146_Genomic.fna,1,0.6148768678811523,256,801,170,17562,17743,10725,11388
00035GCF_000837445.1_ViralProj14150_Genomic.fna,1,0.27159222551164885,171,128,327,1150,960,3729,1930
00036GCF_000837465.1_ViralProj14154_Genomic.fna,1,0.6811303244379628,99,599,127,18212,17751,9127,7709
00037GCF_000837485.1_ViralProj14160_Genomic.fna,1,0.46308210784313725,234,762,387,6669,5423,7775,6245
00038GCF_000837505.1_ViralMultiSegProj14164_Genomic.fna,3,0.3995747464834805,76,118,113,1135,1308,1845,1826
00039GCF_000837525.1_ViralProj14168_Genomic.fna,1,0.41676232732713364,1458,2595,3009,32463,32161,45337,45101
00040GCF_000837545.1_ViralProj14172_Genomic.fna,1,0.4379985496736766,23,67,54,648,560,725,825
00041GCF_000837565.1_ViralMultiSegProj14176_Genomic.fna,2,0.47374159549336725,50,106,70,1392,1215,1389,1507
00042GCF_000837565.2_ViralProj14176_Genomic.fna,1,0.4711433756805808,26,54,37,703,595,693,764
00043GCF_000837605.1_ViralMultiSegProj14188_Genomic.fna,2,0.43660080567811244,51,128,79,1187,1089,1330,1607
00044GCF_000837625.1_ViralProj14020_Genomic.fna,1,0.4878579195360638,43,84,63,1418,1274,1710,1116
00045GCF_000837645.1_ViralProj14024_Genomic.fna,1,0.4080854309687262,64,85,105,1039,1101,1518,1586
00046GCF_000837665.1_ViralProj14029_Genomic.fna,1,0.3630992648716908,316,402,675,4285,3766,7255,6867
00047GCF_000837685.1_ViralProj14034_Genomic.fna,1,0.34635499973961625,1688,3156,3927,25477,21079,45580,42281
00048GCF_000837705.1_ViralMultiSegProj14038_Genomic.fna,2,0.4406101048617731,48,109,101,1173,1138,1394,1540
00049GCF_000837705.2_ViralProj14038_Genomic.fna,1,0.44764795144157815,18,52,57,592,588,705,751
00050GCF_000837725.1_ViralProj14043_Genomic.fna,1,0.49368422759481767,259,1383,837,16388,14058,15964,15261
00051GCF_000837745.1_ViralProj14047_Genomic.fna,1,0.4388534508719577,373,741,806,8462,7568,10359,10138
00052GCF_000837765.1_ViralProj14053_Genomic.fna,1,0.48379761227970436,21,29,25,506,345,432,476
00053GCF_000837785.1_ViralProj14057_Genomic.fna,1,0.44395982024848,99,146,123,1808,1551,2221,1986
00054GCF_000837805.1_ViralProj14061_Genomic.fna,1,0.45371957490572506,28,157,68,1404,1243,1159,2028
00055GCF_000837825.1_ViralProj14066_Genomic.fna,1,0.31962897969415893,204,275,383,2042,1783,4269,3873
00056GCF_000837845.1_ViralProj14070_Genomic.fna,1,0.4346513733776034,33,30,50,671,769,878,995
00057GCF_000837865.1_ViralProj14074_Genomic.fna,1,0.3954210322079938,78,83,115,1013,1025,1546,1570
00058GCF_000837885.1_ViralProj14078_Genomic.fna,1,0.4000803560390654,343,592,725,6723,6222,10594,8817
00059GCF_000837905.1_ViralMultiSegProj14083_Genomic.fna,2,0.4670989891283616,54,121,75,1237,1212,1297,1497
00060GCF_000837905.2_ViralProj14083_Genomic.fna,1,0.4691265060240964,30,56,40,632,614,651,759
00061GCF_000837925.1_ViralProj14088_Genomic.fna,1,0.4453305594082293,63,173,166,1827,2026,2279,2520
00062GCF_000837945.1_ViralProj14092_Genomic.fna,1,0.40678885942238185,1866,2812,4117,36627,36080,53166,52861
00063GCF_000837965.1_ViralProj14096_Genomic.fna,1,0.34514269647124984,434,511,898,5011,4809,9197,9435
00064GCF_000837985.1_ViralProj14100_Genomic.fna,1,0.4115546900357027,33,58,59,710,558,864,949
00065GCF_000838005.1_ViralProj14104_Genomic.fna,1,0.40686138613861383,976,1584,2373,20546,20547,30252,29655
00066GCF_000838045.1_ViralProj14112_Genomic.fna,1,0.35880465302847975,241,280,399,2699,2668,5112,4479
00067GCF_000838065.1_ViralProj14116_Genomic.fna,1,0.3537922429584008,461,939,1025,7416,5911,13401,10941
00068GCF_000838085.1_ViralProj14120_Genomic.fna,1,0.42639040348964014,27,67,66,634,539,725,853
00069GCF_000838105.1_ViralProj14124_Genomic.fna,1,0.2862629010320826,2402,3397,8189,29457,31369,74788,76869
00070GCF_000838125.1_ViralProj14128_Genomic.fna,1,0.5087017569789569,790,1632,1298,27839,27230,26623,26562
00071GCF_000838145.1_ViralProj14132_Genomic.fna,1,0.33353707733307253,603,659,1250,6501,7141,13289,13970
00072GCF_000838165.1_ViralProj14136_Genomic.fna,1,0.2679873081210874,196,240,548,1634,1491,4270,4266
00073GCF_000838185.1_ViralMultiSegProj14140_Genomic.fna,2,0.3656422379826635,99,133,184,1452,1332,2266,2564
00074GCF_000838205.2_ViralProj14145_Genomic.fna,1,0.3864337578583525,657,919,1108,9322,7336,14594,11855
00075GCF_000838225.1_ViralProj14149_Genomic.fna,1,0.42841490138787436,23,62,56,601,572,720,845
00076GCF_000838245.1_ViralProj14153_Genomic.fna,1,0.4363179473614601,71,140,101,1666,1633,2337,1925
00077GCF_000838265.1_ViralProj14158_Genomic.fna,1,0.5375951293759513,1177,1763,1437,35900,38272,32417,31381
00078GCF_000838285.1_ViralProj14163_Genomic.fna,1,0.6428940568475452,12,96,13,2203,1529,747,1326
00079GCF_000838325.1_ViralProj14171_Genomic.fna,1,0.42862305746295626,29,65,47,609,577,722,859
00080GCF_000838345.1_ViralMultiSegProj14175_Genomic.fna,2,0.41099577085736255,44,124,127,1127,1011,1443,1621
00081GCF_000838365.1_ViralMultiSegProj14179_Genomic.fna,2,0.4488952757319921,54,128,100,1465,1034,1478,1590
00082GCF_000838385.1_ViralMultiSegProj14183_Genomic.fna,2,0.4507662835249042,55,124,92,1217,1136,1296,1571
00083GCF_000838405.1_ViralMultiSegProj14187_Genomic.fna,2,0.42818003913894326,54,118,124,1172,1016,1380,1542
00084GCF_000838425.1_ViralProj14191_Genomic.fna,1,0.43641618497109824,26,70,55,637,571,737,823
00085GCF_000838445.1_ViralProj14014_Genomic.fna,1,0.3969998706840812,285,231,404,3065,3075,4639,4687
00086GCF_000838465.1_ViralProj14019_Genomic.fna,1,0.42135922330097086,57,99,108,1124,1046,1718,1262
00087GCF_000838485.1_ViralProj14023_Genomic.fna,1,0.4070248551114298,1167,2100,3083,27347,27152,39196,40201
00088GCF_000838505.1_ViralProj14028_Genomic.fna,1,0.3697019414820891,112,137,170,1462,1242,2431,2179
00089GCF_000838525.1_ViralProj14032_Genomic.fna,1,0.22660026365900102,109,144,354,982,565,2576,2704
00090GCF_000838545.1_ViralMultiSegProj14037_Genomic.fna,2,0.4455350269438029,49,116,91,1205,1110,1314,1567
00091GCF_000838565.1_ViralProj14042_Genomic.fna,1,0.18270293620643652,2785,4852,13373,21371,21769,96168,96813
00092GCF_000838585.1_ViralProj14046_Genomic.fna,1,0.43570127504553735,26,58,46,622,574,723,826
00093GCF_000838605.1_ViralProj14052_Genomic.fna,1,0.3088791848617176,6178,3918,10706,44574,44550,100330,99086
00094GCF_000838625.1_ViralProj14056_Genomic.fna,1,0.24947923048645998,192,158,310,1208,828,3804,2321
00095GCF_000838645.1_ViralProj14060_Genomic.fna,1,0.5379192480239265,12,71,34,1255,1263,1199,964
00096GCF_000838665.1_ViralMultiSegProj14065_Genomic.fna,2,0.433041788143829,64,118,102,1153,1075,1344,1573
00097GCF_000838665.2_ViralProj14065_Genomic.fna,1,0.4189878383679874,38,63,53,558,510,682,799
00098GCF_000838685.1_ViralProj14069_Genomic.fna,1,0.49703923019985197,30,58,29,696,647,690,669
00099GCF_000838705.1_ViralProj14073_Genomic.fna,1,0.4752238805970149,72,173,103,2105,1875,2189,2206
00100GCF_000838725.1_ViralProj14077_Genomic.fna,1,0.3864251509473246,66,86,147,943,913,1741,1206
00101GCF_000838745.1_ViralMultiSegProj14082_Genomic.fna,2,0.44065827686350434,43,125,86,1157,1119,1349,1540
00102GCF_000838765.1_ViralProj14087_Genomic.fna,1,0.3434734687450795,468,558,996,5501,5406,10258,10590
00103GCF_000838785.1_ViralProj14091_Genomic.fna,1,0.38130155820348305,70,111,115,1051,1029,1633,1742
00104GCF_000838805.1_ViralProj14095_Genomic.fna,1,0.44488615829418143,14,72,45,619,612,687,849
00105GCF_000838825.1_ViralProj14099_Genomic.fna,1,0.4617334047928949,1628,2071,2298,28595,31712,35849,34454
00106GCF_000838845.1_ViralProj14103_Genomic.fna,1,0.5361047530924321,1830,1834,2028,43801,44266,37829,38376
00107GCF_000838865.1_ViralProj14107_Genomic.fna,1,0.46115342763873773,33,49,47,839,1280,1597,879
00108GCF_000838885.1_ViralProj14111_Genomic.fna,1,0.351895101156476,439,906,938,7025,5481,12605,10428
00109GCF_000838905.1_ViralProj14115_Genomic.fna,1,0.4668912214737062,252,818,603,9227,8654,10582,9835
00110GCF_000838925.1_ViralProj14119_Genomic.fna,1,0.4337305886601661,34,60,59,649,552,720,848
00111GCF_000838945.1_ViralProj14123_Genomic.fna,1,0.43067117585848075,80,207,85,1842,1469,2577,1800
00112GCF_000838965.1_ViralProj14127_Genomic.fna,1,0.40683054349201,986,1752,3036,23956,24288,35221,35120
00113GCF_000838985.1_ViralProj14131_Genomic.fna,1,0.36222587290411745,446,916,1001,7735,6156,13614,10844
00114GCF_000839005.1_ViralProj14135_Genomic.fna,1,0.3347722242916931,714,998,1435,8714,6564,16960,13399
00115GCF_000839025.1_ViralProj14139_Genomic.fna,1,0.34242988078009784,188,357,444,2658,2311,4891,4651
00116GCF_000839045.1_ViralProj14144_Genomic.fna,1,0.4889902437550971,255,633,408,7873,8316,9561,7357
00117GCF_000839085.1_ViralProj14152_Genomic.fna,1,0.6380090497737556,1,2,0,77,64,41,39
00118GCF_000839105.1_ViralProj14156_Genomic.fna,1,0.33174056124557044,3801,3556,6316,34131,34115,69131,68344
00119GCF_000839125.1_ViralProj14162_Genomic.fna,1,0.5077006068779502,119,912,481,10083,8740,9204,9048
00120GCF_000839145.1_ViralProj14166_Genomic.fna,1,0.2838640365275001,793,710,1441,6398,3114,13735,10262
00121GCF_000839185.1_ViralProj14174_Genomic.fna,1,0.33403860116436007,4127,3901,6835,37261,37731,74831,74678
00122GCF_000839205.1_ViralProj14178_Genomic.fna,1,0.23178893178893178,102,208,352,1176,625,2858,3111
00123GCF_000839225.1_ViralMultiSegProj14182_Genomic.fna,2,0.4182274570380382,56,131,113,1151,1015,1376,1637
00124GCF_000839245.1_ViralMultiSegProj14186_Genomic.fna,2,0.4302063789868668,41,117,117,1154,1139,1446,1591
00125GCF_000839265.1_ViralProj14190_Genomic.fna,1,0.42311886586695746,28,64,57,617,547,748,839
00126GCF_000839305.1_ViralMultiSegProj14013_Genomic.fna,2,0.42795866640670693,62,120,97,1172,1023,1380,1554
00127GCF_000839325.1_ViralProj14018_Genomic.fna,1,0.5622895372053521,603,2354,805,37707,37768,28728,30025
00128GCF_000839345.1_ViralProj14022_Genomic.fna,1,0.5016909469302809,87,127,89,2035,1822,2036,1795
00129GCF_000839365.1_ViralProj14027_Genomic.fna,1,0.36769469088860723,121,133,173,1447,1164,2286,2204
00130GCF_000839385.1_ViralProj14031_Genomic.fna,1,0.38240599417233245,51,151,117,1285,1471,2383,2068
00131GCF_000839405.1_ViralProj14036_Genomic.fna,1,0.35476270615954225,99,127,166,1084,1024,1947,1887
00132GCF_000839425.1_ViralProj14040_Genomic.fna,1,0.3655625351670956,1412,1770,2737,18593,21038,35161,33619
00133GCF_000839445.1_ViralProj14045_Genomic.fna,1,0.38275668298948384,464,839,989,7907,6397,12929,10138
00134GCF_000839465.1_ViralProj14051_Genomic.fna,1,0.3872895931429216,460,821,863,7475,6261,12194,9537
00135GCF_000839485.1_ViralProj14055_Genomic.fna,1,0.37864460204885736,52,63,151,885,1037,1990,1164
00136GCF_000839505.1_ViralMultiSegProj14059_Genomic.fna,2,0.41673047473200614,61,112,113,1188,989,1424,1623
00137GCF_000839525.1_ViralProj14064_Genomic.fna,1,0.3653688524590164,90,100,109,1098,685,1305,1792
00138GCF_000839545.1_ViralProj14068_Genomic.fna,1,0.5363372093023255,21,36,22,756,720,584,692
00139GCF_000839565.1_ViralMultiSegProj14072_Genomic.fna,2,0.4170096021947874,57,116,116,1143,985,1403,1572
00140GCF_000839585.1_ViralProj14076_Genomic.fna,1,0.5339985218033999,33,44,21,731,714,558,703
00141GCF_000839605.1_ViralProj14081_Genomic.fna,1,0.29071443879439673,1334,1691,4765,14799,15044,36102,36709
00142GCF_000839625.1_ViralProj14086_Genomic.fna,1,0.5117302052785924,266,889,571,12335,11397,11635,11009
00143GCF_000839645.1_ViralProj14090_Genomic.fna,1,0.43827050205467216,78,79,128,1282,1171,1654,1490
00144GCF_000839665.1_ViralProj14094_Genomic.fna,1,0.4724318049912943,36,157,90,1656,1600,1779,1857
00145GCF_000839685.1_ViralProj14098_Genomic.fna,1,0.4692638997650744,44,108,62,1230,1167,1502,1209
00146GCF_000839705.1_ViralMultiSegProj14102_Genomic.fna,11,0.3640124095139607,374,689,688,4974,4178,8161,7829
00147GCF_000839725.1_ViralProj14106_Genomic.fna,1,0.4755876125432738,1855,2158,2313,37837,37858,41312,42154
00148GCF_000839745.1_ViralProj14110_Genomic.fna,1,0.41385454745853006,1113,2092,1928,21900,23158,32755,31061
00149GCF_000839765.1_ViralProj14114_Genomic.fna,1,0.5173453637430944,2049,5335,2224,87183,86435,82016,79960
00150GCF_000839785.1_ViralProj14118_Genomic.fna,1,0.452680928244077,1134,2077,1832,28183,27724,34029,33566
00151GCF_000839805.1_ViralProj14122_Genomic.fna,1,0.2591295581466301,2258,2552,6564,19888,19182,56748,54956
00152GCF_000839845.1_ViralProj14130_Genomic.fna,1,0.4309031556039173,24,71,57,630,558,735,834
00153GCF_000839865.1_ViralProj14134_Genomic.fna,1,0.43813231867386365,1090,2342,2101,29929,29487,38445,37751
00154GCF_000839885.1_ViralProj14138_Genomic.fna,1,0.42769281557021166,1201,2683,2257,29904,29692,39180,40567
00155GCF_000839905.1_ViralProj14142_Genomic.fna,1,0.34726209463051566,559,975,1042,7709,5355,13630,10926
00156GCF_000839925.1_ViralProj14147_Genomic.fna,1,0.5584709865973143,596,1282,493,21622,21755,17970,16324
00157GCF_000839945.1_ViralProj14151_Genomic.fna,1,0.5072951739618407,26,38,29,732,624,575,742
00158GCF_000839965.1_ViralProj14155_Genomic.fna,1,0.27402273735959853,2617,2418,5874,20224,19908,53563,52760
00159GCF_000839985.1_ViralProj14161_Genomic.fna,1,0.3206693803708729,85,110,146,893,525,1504,1500
00160GCF_000840005.1_ViralMultiSegProj14165_Genomic.fna,2,0.4114814101329224,53,125,98,1115,1021,1398,1657
00161GCF_000840045.1_ViralMultiSegProj14173_Genomic.fna,8,0.39538403329549754,105,199,176,1769,1366,2287,2507
00162GCF_000840065.1_ViralProj14177_Genomic.fna,1,0.5074302283436027,36,45,24,763,637,583,776
00163GCF_000840085.1_ViralProj14181_Genomic.fna,1,0.43415956622773044,34,48,40,623,498,685,776
00164GCF_000840105.1_ViralMultiSegProj14185_Genomic.fna,2,0.39854098675369554,51,149,113,1104,972,1431,1702
00165GCF_000840145.1_ViralProj14193_Genomic.fna,1,0.4194018964259664,30,63,52,612,538,721,871
00166GCF_000840165.1_ViralProj14197_Genomic.fna,1,0.25307317464455453,2245,2565,6630,19289,18571,56803,54938
00167GCF_000840185.1_ViralProj14192_Genomic.fna,1,0.4252082578775806,35,61,58,629,545,738,849
00168GCF_000840205.1_ViralProj14196_Genomic.fna,1,0.25008669209634826,2263,2556,6749,19116,18386,57188,55266
00169GCF_000840225.1_ViralMultiSegProj14200_Genomic.fna,2,0.39450066832155817,41,147,111,1105,961,1471,1700
00170GCF_000840245.1_ViralProj14204_Genomic.fna,1,0.49858771622373876,210,1073,674,12820,11363,12334,11986
00171GCF_000840285.1_ViralProj14212_Genomic.fna,1,0.44494584837545126,29,31,50,661,818,845,1000
00172GCF_000840305.1_ViralProj14216_Genomic.fna,1,0.3766303472706779,199,448,458,3590,3427,5874,5740
00173GCF_000840325.1_ViralProj14221_Genomic.fna,1,0.36401258069855985,107,128,169,1118,1081,1959,1883
00174GCF_000840345.1_ViralProj14225_Genomic.fna,1,0.35461141760614057,417,829,849,6562,5265,11953,9572
00175GCF_000840385.1_ViralProj14233_Genomic.fna,1,0.39276139410187666,73,143,93,1340,1590,2437,2093
00176GCF_000840405.1_ViralProj14237_Genomic.fna,1,0.4217261904761905,114,223,274,2428,1823,3176,2653
00177GCF_000840425.1_ViralProj14241_Genomic.fna,1,0.43127272727272725,27,76,65,627,559,742,822
00178GCF_000840445.1_ViralProj14245_Genomic.fna,1,0.42888165038002174,34,75,57,619,566,763,815
00179GCF_000840465.1_ViralProj14249_Genomic.fna,1,0.4092071611253197,17,71,54,564,556,739,878
00180GCF_000840485.1_ViralMultiSegProj14253_Genomic.fna,2,0.44151309408341416,46,112,82,1164,1112,1280,1599
00181GCF_000840505.1_ViralMultiSegProj14258_Genomic.fna,2,0.4253875968992248,37,142,100,1227,968,1274,1691
00182GCF_000840525.1_ViralMultiSegProj14262_Genomic.fna,2,0.4535487593768032,45,122,92,1241,1117,1260,1581
00183GCF_000840545.1_ViralProj14266_Genomic.fna,1,0.43503649635036495,30,54,55,650,542,718,830
00184GCF_000840565.1_ViralProj14270_Genomic.fna,1,0.6311616820091397,250,1000,167,22483,25443,15235,12772
00185GCF_000840585.1_ViralProj14274_Genomic.fna,1,0.5731376592559112,191,1050,221,20610,19967,16753,13468
00186GCF_000840605.1_ViralProj14279_Genomic.fna,1,0.4338547189819724,56,156,124,1483,1790,1946,2325
00187GCF_000840625.1_ViralProj14285_Genomic.fna,1,0.5084946561806816,187,818,541,10355,9818,10259,9240
00188GCF_000840645.2_ViralProj14289_Genomic.fna,1,0.45743308610125766,256,913,473,7890,6295,9307,7518
00189GCF_000840685.1_ViralProj14297_Genomic.fna,1,0.4134929270946681,20,54,53,592,548,740,877
00190GCF_000840705.1_ViralProj14301_Genomic.fna,1,0.40442265835055696,1943,2819,3822,31253,35080,47266,50420
00191GCF_000840725.1_ViralProj14305_Genomic.fna,1,0.6063944583681425,291,819,157,17294,17547,10956,11659
00192GCF_000840765.1_ViralProj14314_Genomic.fna,1,0.6094610675597757,1412,1541,1011,49131,50227,31421,32247
00193GCF_000840785.1_ViralProj14318_Genomic.fna,1,0.4570711597060405,14,103,97,1102,1448,1519,1510
00194GCF_000840805.1_ViralProj14322_Genomic.fna,1,0.5222837552742616,549,840,486,11807,11959,10675,11063
00195GCF_000840825.1_ViralProj14326_Genomic.fna,1,0.4158921933085502,144,158,159,1905,1675,2631,2397
00196GCF_000840845.1_ViralProj14330_Genomic.fna,1,0.6119271555438978,201,728,119,17407,15254,10376,10337
00197GCF_000840865.2_ViralProj14335_Genomic.fna,1,0.653100198800933,137,768,119,20989,20733,12108,10053
00198GCF_000840885.1_ViralProj14339_Genomic.fna,1,0.6090301716478909,110,965,111,17613,16662,11446,10557
00199GCF_000840905.1_ViralMultiSegProj14343_Genomic.fna,2,0.46625421822272217,52,97,106,1306,1181,1328,1519
00200GCF_000840925.1_ViralProj14348_Genomic.fna,1,0.4413347685683531,33,59,52,660,570,720,837
00201GCF_000840945.1_ViralProj14352_Genomic.fna,1,0.33534728715624923,624,980,1269,8088,5899,15607,12115
00202GCF_000840965.1_ViralMultiSegProj14356_Genomic.fna,2,0.4217825443786982,52,108,107,1187,1094,1457,1670
00203GCF_000840985.1_ViralMultiSegProj14360_Genomic.fna,2,0.39339502812556704,54,108,122,1131,1037,1538,1805
00204GCF_000841005.1_ViralProj14364_Genomic.fna,1,0.5402129140256174,1018,1305,1167,28859,28584,24310,24581
00205GCF_000841045.1_ViralProj14205_Genomic.fna,1,0.4772315653298836,95,144,131,1983,1706,2039,2002
00206GCF_000841065.1_ViralProj14209_Genomic.fna,1,0.3753822629969419,9,28,36,240,251,414,403
00207GCF_000841085.1_ViralProj14213_Genomic.fna,1,0.40917364397524575,35,71,59,593,531,772,851
00208GCF_000841105.1_ViralProj14217_Genomic.fna,1,0.4269077224298828,252,935,718,9232,7557,12389,10149
00209GCF_000841125.1_ViralProj14222_Genomic.fna,1,0.37869704236610713,53,99,118,966,929,1818,1291
00210GCF_000841145.1_ViralProj14226_Genomic.fna,1,0.3826260562726344,593,959,1087,9056,7426,14596,11998
00211GCF_000841165.1_ViralProj14230_Genomic.fna,1,0.475222457106337,303,818,633,9813,9520,11072,10277
00212GCF_000841185.1_ViralProj14234_Genomic.fna,1,0.5063329242596152,331,926,487,11722,10145,10568,10752
00213GCF_000841205.1_ViralMultiSegProj14238_Genomic.fna,2,0.4209464416727806,48,119,97,1151,1144,1491,1666
00214GCF_000841225.1_ViralProj14242_Genomic.fna,1,0.4355248819469669,28,71,44,653,546,699,855
00215GCF_000841245.1_ViralProj14246_Genomic.fna,1,0.3449833734663456,707,978,1363,8557,6486,16366,12196
00216GCF_000841265.1_ViralProj14250_Genomic.fna,1,0.4390420899854862,39,59,54,635,575,750,796
00217GCF_000841285.1_ViralProj14255_Genomic.fna,1,0.4683402023229674,26,59,52,629,621,662,757
00218GCF_000841305.1_ViralProj14259_Genomic.fna,1,0.41986947063089197,30,68,56,600,558,742,858
00219GCF_000841325.1_ViralMultiSegProj14263_Genomic.fna,2,0.4593034442947855,50,117,90,1233,1154,1281,1529
00220GCF_000841345.1_ViralProj14267_Genomic.fna,1,0.4425578034682081,25,61,48,642,583,735,808
00221GCF_000841365.1_ViralProj14271_Genomic.fna,1,0.653789525345299,109,682,89,18452,18848,10530,9222
00222GCF_000841385.1_ViralProj14275_Genomic.fna,1,0.6418400015713079,239,668,49,16149,16529,8939,9296
00223GCF_000841405.1_ViralProj14280_Genomic.fna,1,0.5210868857793687,97,771,380,8449,7564,7530,7187
00224GCF_000841425.1_ViralProj14286_Genomic.fna,1,0.4807911753518448,63,90,77,1254,1274,1355,1375
00225GCF_000841445.1_ViralMultiSegProj14290_Genomic.fna,2,0.4195970695970696,52,94,78,1147,1144,1490,1679
00226GCF_000841465.1_ViralProj14294_Genomic.fna,1,0.55793883977391,566,1274,480,21196,21151,17565,15987
00227GCF_000841485.1_ViralProj14298_Genomic.fna,1,0.344916164119648,1082,1478,2948,17275,17099,33078,32207
00228GCF_000841505.1_ViralProj14302_Genomic.fna,1,0.32442813477715965,1322,1923,3571,17890,18092,38095,36832
00229GCF_000841525.1_ViralProj14307_Genomic.fna,1,0.5696024722573395,45,147,43,2279,1776,1328,1736
00230GCF_000841545.1_ViralProj14311_Genomic.fna,1,0.3972281735404392,196,289,295,3453,2480,5188,3815
00231GCF_000841565.1_ViralProj14315_Genomic.fna,1,0.430619971604354,614,762,913,8095,10103,11126,12936
00232GCF_000841585.1_ViralProj14319_Genomic.fna,1,0.5387055837563451,11,70,41,1251,1296,1201,980
00233GCF_000841605.1_ViralProj14323_Genomic.fna,1,0.39007149821254467,1005,2030,2212,17775,15832,27321,25228
00234GCF_000841625.1_ViralProj14327_Genomic.fna,1,0.3684064022268615,116,160,151,1441,1206,2333,2205
00235GCF_000841645.1_ViralProj14331_Genomic.fna,1,0.3583793037854289,399,887,952,7301,5887,12869,10742
00236GCF_000841665.1_ViralProj14336_Genomic.fna,1,0.4990054959434703,308,907,657,10131,8936,10093,9050
00237GCF_000841685.1_ViralProj14340_Genomic.fna,1,0.30368620694446374,7400,5367,14177,54592,54691,126821,123751
00238GCF_000841705.1_ViralProj14349_Genomic.fna,1,0.41945945945945945,31,66,57,630,534,754,857
00239GCF_000841725.1_ViralProj14353_Genomic.fna,1,0.6540923424483457,222,460,83,14112,13683,6947,7752
