provided by Gürkan Korkmaz,http://orcid.org/0000-0003-1911-027X
Sequence,TotalCDS,GenomicGC,GenomicOffTAG,GenomicOffTGA,GenomicOffTAA,Genomic Gs,Genomic Cs,Genomic As,Genomic Ts
00018GCF_000143415.3_v1.0_Genomic.fna,758,0.4568307846214923,1569213,2423747,1936517,32397698,32418218,38514598,38551159
00019GCF_000143455.1_v1.0_Genomic.fna,1251,0.5443687244940066,816460,1291223,892902,25693443,25702098,21503442,21514121
00020GCF_000147415.1_v_1.0_Genomic.fna,414,0.6200346322409421,118452,325381,62080,8010074,8018476,4915351,4907155
00021GCF_000148765.1_MalDomGD1.0_Genomic.fna,1251,0.3961630759020482,5933609,9202027,9403616,92253747,92292824,140659261,140629028
00022GCF_000151265.2_Micromonas_pusilla_CCMP1545_v2.0_Genomic.fna,21,0.5917063104953867,47306,149554,53258,3381791,3384960,2338435,2330810
00023GCF_000151685.1_JCVI_RCG_1.1_Genomic.fna,25763,0.37624000301399113,2839582,3845905,4539130,35693270,35780058,59244190,59249863
00024GCF_000184155.1_FraVesHawaii_1.0_Genomic.fna,3048,0.4016668804682647,2189631,3304137,3096118,31611509,31656501,47145374,47100250
00025GCF_000188115.3_SL2.50_Genomic.fna,3145,0.3656832205014073,7327320,9787378,11188873,84008562,83982355,145688128,145710141
00026GCF_000208745.1_Criollo_cocoa_genome_V2_Genomic.fna,431,0.3781931901755931,2892015,4226357,4643972,38151103,38174838,62742264,62749128
00027GCF_000219495.2_MedtrA17_4.0_Genomic.fna,2186,0.36832517383231134,3611021,5598524,6140660,47859790,47906925,82156837,82082339
00028GCF_000219495.3_MedtrA17_4.0_Genomic.fna,2187,0.3683115389357837,3612947,5600691,6144044,47880138,47928715,82197687,82123385
00029GCF_000226075.1_SolTub_3.0_Genomic.fna,14854,0.3738863345866485,6507386,8949577,9763834,79083546,79155700,132483822,132505147
00030GCF_000231095.1_Oryza_brachyantha.v1.4b_Genomic.fna,2491,0.4432043038998758,2502665,3325513,2986507,40189888,40187659,50494738,50483235
00031GCF_000258705.1_Coccomyxa_subellipsoidae_v2.0_Genomic.fna,29,0.5167138648944799,313989,816713,300922,10860461,10852919,10154184,10154494
00032GCF_000263155.2_Setaria_italica_v2.0_Genomic.fna,337,0.46235347629095186,3617411,5124591,4081098,66065892,66024556,76825705,76775325
00033GCF_000309985.1_Brapa_1.0_Genomic.fna,40249,0.4058944054804949,2509899,3918463,3773560,39047414,39095312,57184300,57192814
00034GCF_000313045.1_ASM31304v1_Genomic.fna,31464,0.37176732788242395,3120712,4408924,5046934,40043668,40075717,67656849,67733250
00035GCF_000313855.2_ASM31385v2_Genomic.fna,7259,0.4090388020437159,3263505,4995747,4784300,50329103,50396014,72797741,72725460
00036GCF_000315295.1_Pbr_v1.0_Genomic.fna,2182,0.3957640462405334,4357308,6579199,6826508,64962769,64999920,99223029,99198556
00037GCF_000317415.1_Csi_valencia_1.0_Genomic.fna,4844,0.3880069101838683,2780508,4345181,4482633,40191836,40136821,63351060,63349217
00038GCF_000327365.1_Graimondii2_0_Genomic.fna,1034,0.37851612878279195,6507612,9098664,10372248,84332464,84333100,138509883,138421322
00039GCF_000331145.1_ASM33114v1_Genomic.fna,7127,0.3495718257806881,3720074,5632712,6535583,44953617,45004214,83709690,83669668
00040GCF_000340665.1_C.cajan_V1.0_Genomic.fna,36536,0.37838117102514696,4829549,7038076,7528843,62948073,63019164,103473078,103470640
00041GCF_000341285.1_ASM34128v1_Genomic.fna,433,0.38707662600343296,144460,230667,197506,2278522,2303107,3633157,3621705
00042GCF_000346465.1_Prupe1_0_Genomic.fna,202,0.40141701477470604,2083282,3305895,3134862,32345895,32396527,48235351,48306925
00043GCF_000346465.2_Prunus_persica_NCBIv2_Genomic.fna,192,0.40138565666685533,2085207,3311538,3139540,32389348,32422573,48306454,48352071
00044GCF_000346735.1_P.mume_V1.0_Genomic.fna,8164,0.4044783652032804,2153638,3359184,3164851,33306521,33283162,49009910,49031420
00045GCF_000350225.1_ASM35022v2_Genomic.fna,926,0.5199203061025859,628871,1189906,635808,19965921,19911171,18399551,18421827
00046GCF_000365185.1_Chinese_Lotus_1.1_Genomic.fna,3603,0.4093923538932147,6901399,9361845,8868589,96179039,96235475,138734319,138851430
00047GCF_000375325.1_Caprub1_0_Genomic.fna,773,0.39507724229215746,1290346,2000273,2023486,19267968,19265267,29495577,29504609
00048GCF_000390325.1_Ntom_v01_Genomic.fna,159549,0.38587057563814814,10732887,14463725,16639981,143998074,144082634,229197564,229295129
00049GCF_000390325.2_Ntom_v01_Genomic.fna,159548,0.3858702109079838,10732881,14463701,16639971,143997617,144082177,229197226,229294718
00050GCF_000393655.1_Nsyl_Genomic.fna,253918,0.3908686783351873,14078630,18787494,21316776,190202946,190224052,296497942,296361023
00051GCF_000403535.1_Theobroma_cacao_20110822_Genomic.fna,711,0.37220219270139726,2800560,4165014,4708348,36999795,37019049,62408467,62439986
00052GCF_000413155.1_DPV01_Genomic.fna,80317,0.4135163656684377,5102621,7010363,6797774,74026676,74231445,105167338,105104779
00053GCF_000414095.1_ASM41409v2_Genomic.fna,31301,0.3998974681375081,2666941,3876813,4100794,39377953,39414419,59099092,59139971
00054GCF_000442705.1_EG5_Genomic.fna,40061,0.4004684436542231,8804866,12294431,11596136,119162601,119131704,178412080,178332522
00055GCF_000463585.1_ASM46358v1_Genomic.fna,12249,0.4186982643207665,1490408,2767282,2421282,29796995,29800665,41361345,41381351
00056GCF_000471905.2_AMTR1.0_Genomic.fna,5746,0.40619293734713097,6101082,8400592,8068220,85393851,85272793,124542467,124952414
00057GCF_000478725.1_Eutsalg1_0_Genomic.fna,638,0.3953453934695113,2025649,3294179,3362346,32258217,32292084,49356739,49368673
00058GCF_000493195.1_Citrus_clementina_v1.0_Genomic.fna,1398,0.387611526520152,2615697,4096176,4243509,37893551,37857577,59845028,59834379
00059GCF_000495115.1_PopEup_1.0_Genomic.fna,9615,0.3808971878006636,3740896,5528743,5906560,49947841,49993553,81256754,81186026
00060GCF_000499845.1_PhaVulg1_0_Genomic.fna,708,0.37624788080876864,3808291,5936479,6553204,53648784,53543335,88858798,88846685
00061GCF_000504015.1_Mimgu1_0_Genomic.fna,2212,0.39899339152052654,2143438,3253521,3601446,34699718,34678013,52263485,52240689
00062GCF_000511025.1_RefBeet-1.2.1_Genomic.fna,40269,0.3895974933577105,5224545,7107579,7939549,69131853,69075969,108229738,108307592
00063GCF_000511025.2_RefBeet-1.2.2_Genomic.fna,40246,0.3895914529788615,5224609,7107270,7939631,69128603,69073543,108227999,108305938
00064GCF_000512975.1_S_indicum_v1.0_Genomic.fna,16236,0.4022193493533601,2489522,3789963,3615897,37695825,37689094,56024729,56012760
00065GCF_000611645.1_mono_v1_Genomic.fna,6720,0.5949635640054014,223896,711944,164931,13724790,13779379,9367777,9356379
00066GCF_000612285.1_Gossypium_arboreum_v1.0_Genomic.fna,75419,0.36350094845241754,9311725,13028981,16420618,116168846,116123554,203426229,203323445
00067GCF_000612305.1_Egrandis1_0_Genomic.fna,4951,0.4199571142567282,5983439,9202874,8270398,95733593,95755894,132259020,132225402
00068GCF_000633955.1_Cs_Genomic.fna,37212,0.39888777104307876,5519736,8659657,8602608,84867837,85040875,128069657,127977813
00069GCF_000686985.1_Brassica_napus_assembly_v1.0_Genomic.fna,1376,0.4020196674029483,7234753,11402226,11285112,113090127,113180393,168245818,168318116
00070GCF_000695525.1_BOL_Genomic.fna,32886,0.4024135787745728,3818915,6014396,5929089,59852017,59856805,88875658,88892614
00071GCF_000696525.1_JatCur_1.0_Genomic.fna,6024,0.38448754931329815,2512486,3548061,3870191,33583638,33609761,53795422,53772102
00072GCF_000710875.1_Pepper_Zunla_1_Ref_v1.0_Genomic.fna,1627,0.36657793324682447,25875967,31319775,37564654,276563461,276604442,477920456,477916556
00073GCF_000715135.1_Ntab-TN90_Genomic.fna,168247,0.3927223252010426,24080316,32101110,35967308,326725149,326950687,505156245,505641248
00074GCF_000733215.1_ASM73321v1_Genomic.fna,374,0.5998532981724684,80150,255307,53714,5231007,5226019,3488733,3486880
00075GCF_000741045.1_Vradiata_ver6_Genomic.fna,2499,0.37647780050934593,3713253,5814622,6202410,51523226,51590016,85400013,85376047
00076GCF_000801105.1_Rs1.0_Genomic.fna,10676,0.40219058065202046,3434676,5292766,5217468,52606287,52627314,78206921,78210561
00077GCF_000816755.1_Araip1.0_Genomic.fna,548,0.38100073989820527,7458529,11151821,12603961,104822572,104844204,170311612,170327042
00078GCF_000816755.2_Araip1.1_Genomic.fna,548,0.38100073989820527,7458536,11161973,12602824,104822582,104844194,170315225,170323429
00079GCF_000817695.1_Aradu1.0_Genomic.fna,1507,0.38590370032600185,6406857,9436854,10168753,89032577,88950042,141566054,141661258
00080GCF_000817695.2_Aradu1.1_Genomic.fna,1507,0.3858916492670262,6406118,9424430,10173252,88978106,88973554,141644021,141548426
00081GCF_000826755.1_ZizJuj_1.1_Genomic.fna,4789,0.3759966981760597,3544919,5077604,5743064,47742609,47702330,79190806,79209407
00082GCF_000987745.1_ASM98774v1_Genomic.fna,9148,0.36942726558597333,14752922,20635640,25012928,187249318,187177085,319631660,319474066
00083GCF_001190045.1_Vigan1.1_Genomic.fna,37375,0.3776214663180727,3884079,6084993,6551210,54312495,54450727,89680893,89577705
00084GCF_001263595.1_ASM126359v1_Genomic.fna,89584,0.389226761028338,8155543,11410285,11984088,106256620,106218159,166738255,166676407
00085GCF_001406875.1_SPENNV200_Genomic.fna,12,0.3665319637561953,8236790,11066763,12641363,95556788,95446592,165008525,165097845
00086GCF_001411555.1_wgs.5d_Genomic.fna,105803,0.40535042343894884,6246437,9035081,8678436,91749343,91898959,134759917,134652371
00087GCF_001433935.1_IRGSP-1.0_Genomic.fna,58,0.43983620065153484,3383194,4571021,4274031,55666273,55653114,70894399,70879040
00088GCF_001540865.1_ASM154086v1_Genomic.fna,3129,0.4116568386210244,3325691,4146748,4750185,47570821,47536560,67929829,67998381
00089GCF_001605985.1_ASM160598v1_Genomic.fna,72902,0.38616992561999935,9088027,12023583,13033736,112047379,112052821,178224836,177989963
00090GCF_001625215.1_ASM162521v1_Genomic.fna,4826,0.3798747763156376,3499776,5276328,5876667,48956434,48992557,79923892,79972589
00091GCF_001865875.1_LupAngTanjil_v1.0_Genomic.fna,13573,0.3630833434218899,5708743,8218414,9173321,68860887,68898391,120849955,120805798
00092GCF_001876935.1_Aspof.V1_Genomic.fna,11792,0.3975468395549595,8649154,12473700,12891981,121591967,121550317,184218937,184245412
00093GCF_001879085.1_NIATTr2_Genomic.fna,37194,0.39335007171003117,13495768,18398755,20855013,188189783,188146130,290192134,290217458
00094GCF_001879475.1_Asagao_1.1_Genomic.fna,3418,0.40554403603430167,5418692,7709386,8173496,81055253,80990927,118755863,118775230
00095GCF_001957025.1_Aet_MR_1.0_Genomic.fna,68538,0.4782913058303985,13719475,19985964,15527642,285271637,285075944,311208073,310913400
00096GCF_001995035.1_ASM199503v1_Genomic.fna,1052,0.397917735040497,2423639,3531647,3576229,35315490,35347924,53446265,53473293
00097GCF_002168275.1_ASM216827v2_Genomic.fna,6074,0.3815261623233367,2109185,3092567,3303621,28068787,28054692,45518724,45460367
00098GCF_002207925.1_PAV_r1.0_Genomic.fna,10148,0.40398754419386956,2328918,3664825,3480776,36411132,36449947,53774492,53719195
