Sequence,TotalCDS,Uncounted,%Uncounted,TGA,TAG,TAA,TGA,TAG,TAA,CDSGC,TGA,TAG,TAA,TGA,TAG,TAA,G,C,A,T,CDS Size,Sequence,TotalFASTAsequences,GenomicGC,TAG,TGA,TAA,G,C,A,T,Equal Sequence,Genomic Size,NonCoding Size,%gOffTAG,%gOffTGA,%gOffTAA,NonCoding%,NonCodingG+C,NoncodingA+T,NonCoding%GC,TAG,TGA,TAG
00021GCF_000015145.1_ASM1514v1.fna,1716,42,0.024475524,262,977,435,0.15651135,0.583632019,0.259856631,0.540474708,20129,29964,16744,0.301165522,0.448314556,0.250519922,419369,349466,351626,302057,1.42E+06,00021GCF_000015145.1_ASM1514v1.fna,1,0.537367649,35353,19920,17334,448391,447489,387694,383590,TRUE,1667164,244646,0.486908976,0.274353712,0.238737312,0.146743812,127045,117601,0.519301358,5389,-209,590
00022GCF_000015205.1_ASM1520v1.fna,2049,81,0.039531479,531,665,772,0.269817073,0.337906504,0.392276423,0.498548059,20948,31650,25322,0.268839836,0.406185832,0.324974333,450906,358066,435485,378199,1.62E+06,00022GCF_000015205.1_ASM1520v1.fna,1,0.495990753,32119,19789,28759,453771,452108,460654,459870,TRUE,1826403,203747,0.398167776,0.245317168,0.356515056,0.111556431,96907,106840,0.475624181,469,-1159,3437
00023GCF_000015225.1_ASM1522v1.fna,1866,35,0.018756699,509,837,485,0.277990169,0.457127253,0.264882578,0.583702081,18656,23567,14411,0.329413427,0.416128121,0.254458453,525513,427676,362867,316950,1.63E+06,00023GCF_000015225.1_ASM1522v1.fna,2,0.576460876,26467,19002,15610,518776,526577,382590,385455,TRUE,1813398,180392,0.433324056,0.31110529,0.255570654,0.099477335,92164,88228,0.510909575,2900,346,1199
00024GCF_000015765.1_ASM1576v1.fna,1824,60,0.032894737,755,133,876,0.428004535,0.075396825,0.496598639,0.511523104,30046,4466,11159,0.657879179,0.097786341,0.244334479,416803,403744,413230,370348,1.60E+06,00024GCF_000015765.1_ASM1576v1.fna,1,0.500066206,8465,32229,16070,449479,453122,450744,451618,TRUE,1804963,200838,0.149126207,0.567771827,0.283101966,0.111269871,82054,118784,0.408558141,3999,2183,4911
00025GCF_000015825.1_ASM1582v1.fna,2462,69,0.028025995,1452,397,544,0.606769745,0.165900543,0.227329712,0.631803707,25070,3368,5056,0.748492267,0.100555323,0.150952409,684438,679352,418710,376066,2.16E+06,00025GCF_000015825.1_ASM1582v1.fna,1,0.620630516,10437,30974,8689,768993,768989,468958,471156,TRUE,2478096,319530,0.208323353,0.618243513,0.173433134,0.128941736,174192,145338,0.54515069,7069,5904,3633
00026GCF_000015945.1_ASM1594v1.fna,1598,42,0.026282854,345,375,836,0.221722365,0.241002571,0.537275064,0.362152124,26917,33746,39522,0.268672955,0.336836852,0.394490193,287555,212287,488142,392215,1.38E+06,00026GCF_000015945.1_ASM1594v1.fna,1,0.35726584,34068,25582,45703,288188,272893,515199,494206,TRUE,1570486,190287,0.323370004,0.242821752,0.433808245,0.121164404,61239,129048,0.321824402,322,-1335,6181
00027GCF_000016125.1_ASM1612v1.fna,1848,52,0.028138528,161,154,1481,0.089643653,0.085746102,0.824610245,0.34159849,35305,15060,44700,0.371377479,0.158417925,0.470204597,303934,234857,589785,448688,1.58E+06,00027GCF_000016125.1_ASM1612v1.fna,2,0.329761421,15608,31779,54635,293705,296255,594552,604539,TRUE,1789051,211787,0.152986611,0.311491639,0.53552175,0.118379521,51169,160618,0.241605953,548,-3526,9935
00028GCF_000016525.1_ASM1652v1.fna,1759,67,0.038089824,258,335,1099,0.15248227,0.197990544,0.649527187,0.322653738,45653,22474,57336,0.363876203,0.179128508,0.456995289,314426,227107,611369,525470,1.68E+06,00028GCF_000016525.1_ASM1652v1.fna,1,0.310343116,22882,36525,68113,276724,298393,652121,625927,TRUE,1853165,174793,0.179438519,0.286425659,0.534135822,0.094321337,33584,141209,0.192135841,408,-9128,10777
00029GCF_000016605.1_ASM1660v1.fna,2332,67,0.028730703,920,594,751,0.406181015,0.262251656,0.331567329,0.473720626,38922,31132,32985,0.377740467,0.302138025,0.320121507,520264,410210,551361,482348,1.96E+06,00029GCF_000016605.1_ASM1660v1.fna,1,0.462253561,34303,41185,37927,513726,499311,593176,585305,TRUE,2191518,227335,0.302455583,0.363135388,0.334409029,0.103734033,82563,144772,0.363177689,3171,2263,4942
00030GCF_000017165.1_ASM1716v1.fna,1704,52,0.030516432,131,186,1335,0.079297821,0.112590799,0.80811138,0.324271113,33551,18885,50915,0.324631595,0.182726824,0.492641581,281051,205320,570857,442662,1.50E+06,00030GCF_000017165.1_ASM1716v1.fna,1,0.313283517,18597,29393,61589,270512,268351,592742,588444,TRUE,1720049,220159,0.169713175,0.268235702,0.562051123,0.127995772,52492,167667,0.238427682,-288,-4158,10674
00031GCF_000017185.1_ASM1718v1.fna,1504,52,0.034574468,119,137,1196,0.081955923,0.094352617,0.82369146,0.314766915,26011,19634,51091,0.268886454,0.20296477,0.528148776,252863,168433,534766,382376,1.34E+06,00031GCF_000017185.1_ASM1718v1.fna,1,0.300375087,17957,22912,58478,235871,235568,546837,551225,TRUE,1569501,231063,0.180750299,0.230625988,0.588623713,0.147220677,50143,180920,0.21701008,-1677,-3099,7387
00032GCF_000017225.1_ASM1722v1.fna,1810,63,0.03480663,154,138,1455,0.088151116,0.078992559,0.832856325,0.344607202,35306,14839,43446,0.377237128,0.15855157,0.464211302,304370,235095,581377,444607,1.57E+06,00032GCF_000017225.1_ASM1722v1.fna,1,0.332845,15441,31772,52800,295279,294754,593876,588787,TRUE,1772696,207247,0.154389929,0.317678702,0.527931369,0.116910627,50568,156679,0.243998707,602,-3534,9354
00033GCF_000017625.1_ASM1762v1.fna,2585,128,0.049516441,1099,266,1092,0.447293447,0.108262108,0.444444444,0.557044125,34399,5347,13317,0.648267154,0.100767013,0.250965833,616374,614625,508642,470236,2.21E+06,00033GCF_000017625.1_ASM1762v1.fna,1,0.545136232,10079,37743,19928,693876,692376,580143,576551,TRUE,2542946,333069,0.148767528,0.557092251,0.294140221,0.130977614,155253,177816,0.46612864,4732,3344,6611
00034GCF_000017945.1_ASM1794v1.fna,1459,36,0.024674435,686,315,422,0.482080112,0.221363317,0.296556571,0.567552829,18099,16557,15808,0.358651712,0.328095276,0.313253012,394535,297590,293081,234284,1.22E+06,00034GCF_000017945.1_ASM1794v1.fna,1,0.56520382,16337,16038,14617,366636,366738,281521,282644,TRUE,1297539,78049,0.34765492,0.341292135,0.311052945,0.060151564,41249,36800,0.528501326,-220,-2061,-1191
00035GCF_000018305.1_ASM1830v1.fna,2025,54,0.026666667,551,377,1043,0.279553526,0.191273465,0.529173009,0.441080587,46712,36803,63674,0.317360672,0.250039065,0.432600262,477259,337921,527714,505249,1.85E+06,00035GCF_000018305.1_ASM1830v1.fna,1,0.430959246,37168,42983,73371,447209,448139,591972,590250,TRUE,2077570,229427,0.242102109,0.279979417,0.477918474,0.110430455,80168,149259,0.349427051,365,-3729,9697
00036GCF_000018365.1_ASM1836v1.fna,1975,48,0.024303797,1271,253,403,0.659574468,0.131292164,0.209133368,0.521312594,31740,15263,18785,0.482458807,0.232002797,0.285538396,471685,410317,446361,363524,1.69E+06,00036GCF_000018365.1_ASM1836v1.fna,1,0.512726712,17846,32588,20527,476955,470364,454017,446274,TRUE,1847610,155723,0.251490255,0.459238173,0.289271572,0.08428348,65317,90406,0.419443499,2583,848,1742
00037GCF_000018485.1_ASM1848v1.fna,1834,64,0.034896401,150,142,1478,0.084745763,0.080225989,0.835028249,0.345947985,34680,14510,43042,0.376008327,0.15732067,0.466671004,301784,233776,576174,436360,1.55E+06,00037GCF_000018485.1_ASM1848v1.fna,1,0.334232698,14910,31460,52022,290832,292135,577398,583830,TRUE,1744195,196101,0.15153671,0.319741442,0.528721847,0.112430663,47407,148694,0.241747875,400,-3220,8980
00038GCF_000019605.1_ASM1960v1.fna,1657,43,0.025950513,877,316,421,0.543370508,0.195786865,0.260842627,0.497392626,35057,27811,22242,0.411902244,0.326765362,0.261332393,427211,302556,395514,341904,1.47E+06,00038GCF_000019605.1_ASM1960v1.fna,1,0.4900076,26587,32805,22535,395711,383773,408429,402846,TRUE,1590759,123574,0.32452061,0.400417445,0.275061945,0.077682414,49717,73857,0.402325732,-1224,-2252,293
00039GCF_000020905.1_ASM2090v1.fna,1415,44,0.031095406,398,525,448,0.290299052,0.382932166,0.326768782,0.458313825,24181,25193,25671,0.322220001,0.335705244,0.342074755,317855,238164,362317,294848,1.21E+06,00039GCF_000020905.1_ASM2090v1.fna,1,0.453391531,25290,23027,26668,303024,315957,366809,379434,TRUE,1365224,152040,0.337267453,0.307088084,0.355644462,0.11136634,62962,89078,0.414114707,97,-1154,997
00040GCF_000021965.1_ASM2196v1.fna,2796,118,0.042203147,1712,334,632,0.639283047,0.12471994,0.235997013,0.567816428,51928,5246,10018,0.772830099,0.078074771,0.14909513,735390,703789,572484,522922,2.53E+06,00040GCF_000021965.1_ASM2196v1.fna,1,0.553537063,12788,57482,15542,810340,807604,648456,656519,TRUE,2922919,388334,0.149023447,0.669859693,0.18111686,0.132858283,178765,209569,0.460338266,7542,5554,5524
00041GCF_000022205.1_ASM2220v1.fna,3655,185,0.050615595,1884,835,751,0.542939481,0.240634006,0.216426513,0.652200098,36067,5861,5316,0.763419694,0.124058081,0.112522225,1045521,1025063,596243,507941,3.17E+06,00041GCF_000022205.1_ASM2220v1.fna,3,0.639719568,15310,42148,10217,1182033,1180191,660779,669590,TRUE,3692593,517825,0.226228297,0.622800148,0.150971555,0.140233435,291640,226185,0.563201854,9449,6081,4901
00042GCF_000022365.1_ASM2236v1.fna,2144,61,0.028451493,1393,258,432,0.668747,0.123859818,0.207393183,0.542762793,36584,13924,18688,0.528701081,0.201225504,0.270073415,554098,479413,481359,389297,1.90E+06,00042GCF_000022365.1_ASM2236v1.fna,1,0.535614831,17140,35145,19627,544605,550963,470421,479451,TRUE,2045440,141273,0.238346868,0.488722327,0.272930804,0.069067291,62057,79216,0.439270066,3216,-1439,939
00043GCF_000022385.1_ASM2238v1.fna,3001,166,0.055314895,843,569,1423,0.297354497,0.200705467,0.501940035,0.359408941,47358,58546,82293,0.251640568,0.311088912,0.43727052,522165,358402,852173,717302,2.45E+06,00043GCF_000022385.1_ASM2238v1.fna,1,0.351110434,55432,44126,92849,485602,475132,888038,887501,TRUE,2736273,286231,0.288097626,0.22933677,0.482565603,0.104606156,80167,206064,0.280077979,-3114,-3232,10556
00044GCF_000022405.1_ASM2240v1.fna,2860,150,0.052447552,788,544,1378,0.290774908,0.200738007,0.508487085,0.359313029,45297,56097,78755,0.251441862,0.311392236,0.437165902,499047,344030,814658,688623,2.35E+06,00044GCF_000022405.1_ASM2240v1.fna,1,0.350995253,52758,41818,88652,459206,456482,845854,847291,TRUE,2608833,262475,0.287936342,0.22822931,0.483834348,0.10061012,72611,189864,0.27663968,-3339,-3479,9897
00045GCF_000022425.1_ASM2242v1.fna,2897,144,0.049706593,796,548,1409,0.289139121,0.199055576,0.511805303,0.358818593,46608,57680,80925,0.251645403,0.311425224,0.436929373,511752,351971,837208,706199,2.41E+06,00045GCF_000022425.1_ASM2242v1.fna,1,0.350097292,54640,43257,91911,473585,469018,875110,874690,TRUE,2692403,285273,0.287869847,0.227898719,0.484231434,0.105954792,78880,206393,0.276507065,-3040,-3351,10986
00046GCF_000022445.1_ASM2244v1.fna,2740,111,0.040510949,769,530,1330,0.292506657,0.201597566,0.505895778,0.358426491,44470,54654,77009,0.25247966,0.310299603,0.437220737,486077,334634,798763,670287,2.29E+06,00046GCF_000022445.1_ASM2244v1.fna,1,0.350022887,52116,41550,87827,453889,451497,839911,841351,TRUE,2586648,296887,0.287151571,0.228934449,0.48391398,0.11477673,84675,212212,0.285209524,-2538,-2920,10818
00047GCF_000022465.1_ASM2246v1.fna,2977,196,0.065838092,831,555,1395,0.298813376,0.199568501,0.501618123,0.362679675,47035,57477,80775,0.253849434,0.310205249,0.435945317,523513,358133,840792,708484,2.43E+06,00047GCF_000022465.1_ASM2246v1.fna,1,0.353854097,54087,43523,90661,482616,473519,873665,872260,TRUE,2702060,271138,0.287282694,0.231172087,0.481545219,0.100344922,74489,196649,0.274727261,-3390,-3512,9886
00048GCF_000022485.1_ASM2248v1.fna,3171,238,0.075055188,869,584,1480,0.296283669,0.199113536,0.504602796,0.361664246,49082,60314,84810,0.252731635,0.31056713,0.436701235,546660,373735,884237,740256,2.54E+06,00048GCF_000022485.1_ASM2248v1.fna,2,0.353054499,56783,45432,95775,499371,508392,919520,927129,TRUE,2854412,309524,0.286797313,0.229466135,0.483736552,0.108437044,87368,222156,0.282265672,-3531,-3650,10965
00049GCF_000022545.1_ASM2254v1.fna,1973,64,0.032437912,937,318,654,0.490832897,0.166579361,0.342587742,0.408286803,37814,24638,34847,0.388637088,0.253219458,0.358143455,399216,290173,555364,443739,1.69E+06,00049GCF_000022545.1_ASM2254v1.fna,1,0.402012784,23087,32835,39412,370810,371226,550363,553403,TRUE,1845802,157310,0.242169635,0.344420668,0.413409696,0.085225826,52647,104663,0.334670396,-1551,-4979,4565
00050GCF_000023945.1_ASM2394v1.fna,2956,92,0.031123139,1925,473,466,0.672136872,0.165153631,0.162709497,0.637853636,32245,3691,3123,0.825545969,0.094498067,0.079955964,883697,866840,531140,462741,2.74E+06,00050GCF_000023945.1_ASM2394v1.fna,1,0.628999781,11706,37841,6611,980610,979854,582913,573419,TRUE,3116796,372378,0.208447594,0.673830977,0.117721429,0.119474614,209927,162451,0.563747053,8015,5596,3488
00051GCF_000023965.1_ASM2396v1.fna,3296,94,0.028519417,1900,829,473,0.593379138,0.258900687,0.147720175,0.668473691,26072,3170,2088,0.832173635,0.101180977,0.066645388,964513,961962,519637,435789,2.88E+06,00051GCF_000023965.1_ASM2396v1.fna,2,0.655307319,13120,32044,5577,1092749,1090965,574261,574376,TRUE,3332351,450450,0.258568022,0.631520861,0.109911117,0.135174836,257239,193211,0.571071151,9950,5972,3489
00052GCF_000023985.1_ASM2398v1.fna,1597,46,0.028804008,202,172,1177,0.130238556,0.110896196,0.758865248,0.32837699,32264,23330,46165,0.317062864,0.22926719,0.453669946,289929,159714,518693,400953,1.37E+06,00052GCF_000023985.1_ASM2398v1.fna,2,0.322185268,19643,24745,53713,244004,241612,511165,510476,TRUE,1507257,137968,0.200232414,0.252240038,0.547527548,0.091535816,35973,101995,0.260734373,-3687,-7519,7548
00053GCF_000024185.1_ASM2418v1.fna,2232,131,0.058691756,245,514,1342,0.116611138,0.244645407,0.638743455,0.365971097,59748,29349,61566,0.396567173,0.194798988,0.408633838,465294,370173,793845,653565,2.28E+06,00053GCF_000024185.1_ASM2418v1.fna,1,0.326410083,38012,59070,98957,479215,479518,985807,992664,TRUE,2937204,654327,0.193900193,0.301317595,0.504782212,0.222772065,123266,531061,0.188385929,8663,-678,37391
00054GCF_000024305.1_ASM2430v1.fna,3013,163,0.054098905,866,567,1417,0.303859649,0.198947368,0.497192982,0.360940856,47405,58601,82087,0.252029581,0.311553327,0.436417092,525663,362088,852801,718995,2.46E+06,00054GCF_000024305.1_ASM2430v1.fna,2,0.352626154,55232,43523,92823,484589,484653,886903,892494,TRUE,2748639,289092,0.288300327,0.227181618,0.484518055,0.105176416,81491,207601,0.281886043,-3369,-3882,10736
00055GCF_000024625.1_ASM2462v1.fna,1718,52,0.030267753,228,163,1275,0.136854742,0.097839136,0.765306122,0.329574903,31090,23497,51152,0.294025856,0.222216968,0.483757176,306334,188001,576751,428831,1.50E+06,00055GCF_000024625.1_ASM2462v1.fna,3,0.315758494,21661,27144,64147,276754,279531,602038,603419,TRUE,1761742,261825,0.191771726,0.24031447,0.567913804,0.148617107,61950,199875,0.236608422,-1836,-3946,12995
00056GCF_000024745.1_ASM2474v1.fna,2939,237,0.080639673,786,535,1381,0.290895633,0.19800148,0.511102887,0.367568934,45268,54931,75729,0.257309809,0.312235687,0.430454504,509583,351137,804899,676037,2.34E+06,00056GCF_000024745.1_ASM2474v1.fna,1,0.358251763,52387,42952,86566,476790,479375,849347,863463,TRUE,2668975,327319,0.287990984,0.236123251,0.475885765,0.122638466,95445,231874,0.291596272,-2544,-2316,10837
00057GCF_000025285.1_ASM2528v1.fna,1810,45,0.024861878,836,271,658,0.473654391,0.153541076,0.372804533,0.425252655,33484,22236,29194,0.394328379,0.261864946,0.343806675,375197,245839,458908,380449,1.46E+06,00057GCF_000025285.1_ASM2528v1.fna,2,0.420045567,20594,28784,30591,329477,327234,453664,453053,TRUE,1563428,103035,0.257524791,0.359939477,0.382535733,0.065903259,35675,67360,0.346241568,-1642,-4700,1397
00058GCF_000025325.1_ASM2532v1.fna,5223,234,0.044801838,2777,1121,1091,0.556624574,0.224694328,0.218681098,0.656640119,41339,6878,6038,0.761938992,0.126771726,0.111289282,1480514,1490927,843057,710722,4.53E+06,00058GCF_000025325.1_ASM2532v1.fna,7,0.642642481,25232,55686,13330,1748579,1747907,968432,975877,TRUE,5440795,915575,0.267719209,0.590845429,0.141435362,0.168279636,525045,390530,0.573459302,18354,14347,7292
00059GCF_000025505.1_ASM2550v1.fna,2528,77,0.030458861,1162,395,894,0.474092207,0.161158711,0.364749082,0.448498231,39523,22406,34770,0.40872191,0.231708704,0.359569385,535436,377736,629245,493649,2.04E+06,00059GCF_000025505.1_ASM2550v1.fna,1,0.441354353,21314,34629,38253,487587,481745,615993,610942,TRUE,2196267,160201,0.226272878,0.367627075,0.406100047,0.072942406,56160,104041,0.350559609,-1092,-4894,3483
00060GCF_000025525.1_ASM2552v1.fna,1824,40,0.021929825,259,196,1329,0.145179372,0.109865471,0.744955157,0.327267483,36544,27822,53612,0.309752666,0.235823628,0.454423706,328940,185029,593620,462897,1.57E+06,00060GCF_000025525.1_ASM2552v1.fna,2,0.32039187,25175,28729,63970,286220,281879,602862,602177,TRUE,1773138,202652,0.213575513,0.243726352,0.542698135,0.114290033,54130,148522,0.267108146,-2647,-7815,10358
00061GCF_000025625.1_ASM2562v1.fna,4185,155,0.037037037,2060,955,1015,0.511166253,0.236972705,0.251861042,0.624260807,44287,6555,6002,0.779097178,0.115315601,0.105587221,1159691,1166846,766952,633378,3.73E+06,00061GCF_000025625.1_ASM2562v1.fna,4,0.610501592,21278,54649,12771,1356364,1356503,864945,865857,TRUE,4443669,716802,0.23989267,0.616124377,0.143982953,0.161308594,386330,330472,0.53896334,14723,10362,6769
